Entity,Code,Year,"5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Female","5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Male",World regions according to OWID
Afghanistan,AFG,2023,,,Asia
Aland Islands,ALA,2023,,,Europe
Albania,ALB,2023,,,Europe
Algeria,DZA,2018,83.07,92.62,
Algeria,DZA,2023,,,Africa
American Samoa,ASM,2023,,,Oceania
Andorra,AND,2023,,,Europe
Angola,AGO,2014,79.8,77.61,
Angola,AGO,2023,,,Africa
Anguilla,AIA,2023,,,North America
Antigua and Barbuda,ATG,2023,,,North America
Argentina,ARG,2022,89.19,89.41,
Argentina,ARG,2023,,,South America
Armenia,ARM,2017,72.64,72.57,
Armenia,ARM,2018,76.82,75.95,
Armenia,ARM,2023,,,Asia
Aruba,ABW,2023,,,North America
Australia,AUS,2023,,,Oceania
Australia and New Zealand (UN),,2020,97.1,96.9,
Australia and New Zealand (UN),,2021,97.5,96.6,
Australia and New Zealand (UN),,2022,97.5,96.5,
Australia and New Zealand (UN),,2023,97.8,96.4,
Austria,AUT,2023,,,Europe
Austria-Hungary,OWID_AUH,2023,,,Europe
Azerbaijan,AZE,2014,70.66,77.21,
Azerbaijan,AZE,2015,70.47,77.81,
Azerbaijan,AZE,2016,69.84,77.01,
Azerbaijan,AZE,2017,79.72,88.38,
Azerbaijan,AZE,2018,79.34,87.75,
Azerbaijan,AZE,2019,79.43,87.64,
Azerbaijan,AZE,2020,79.95,88.12,
Azerbaijan,AZE,2021,83.37,84.63,
Azerbaijan,AZE,2023,82.88,84.74,Asia
Bahamas,BHS,2023,,,North America
Bahrain,BHR,2015,100,100,
Bahrain,BHR,2016,100,100,
Bahrain,BHR,2017,100,100,
Bahrain,BHR,2018,100,100,
Bahrain,BHR,2019,100,100,
Bahrain,BHR,2020,100,100,
Bahrain,BHR,2021,100,100,
Bahrain,BHR,2022,100,100,
Bahrain,BHR,2023,,,Asia
Bangladesh,BGD,2021,51.45,72.32,
Bangladesh,BGD,2023,55.33,72.17,Asia
Barbados,BRB,2023,,,North America
Belarus,BLR,2017,94.99,91.48,
Belarus,BLR,2018,95.7,93.69,
Belarus,BLR,2019,96.26,93.95,
Belarus,BLR,2020,96.89,94.6,
Belarus,BLR,2021,97.78,96.1,
Belarus,BLR,2022,97.92,95.75,
Belarus,BLR,2023,,,Europe
Belgium,BEL,2023,,,Europe
Belize,BLZ,2023,,,North America
Benin,BEN,2023,,,Africa
Bermuda,BMU,2023,,,North America
Bhutan,BTN,2021,87.76,86.34,
Bhutan,BTN,2023,,,Asia
Bolivia,BOL,2023,,,South America
Bonaire Sint Eustatius and Saba,BES,2023,,,North America
Bosnia and Herzegovina,BIH,2023,,,Europe
Botswana,BWA,2023,,,Africa
Brazil,BRA,2014,85.34,83.3,
Brazil,BRA,2015,85.46,82.2,
Brazil,BRA,2016,83.95,81.76,
Brazil,BRA,2017,83.58,82.58,
Brazil,BRA,2018,84.01,81.95,
Brazil,BRA,2019,85.79,83.14,
Brazil,BRA,2020,89.91,87.96,
Brazil,BRA,2021,89.56,88.02,
Brazil,BRA,2022,88.98,87.13,
Brazil,BRA,2023,,,South America
British Indian Ocean Territory,IOT,2023,,,Asia
British Virgin Islands,VGB,2016,78.23,75.6,
British Virgin Islands,VGB,2017,77.42,75.6,
British Virgin Islands,VGB,2023,,,North America
Brunei,BRN,2016,99,99,
Brunei,BRN,2019,98.7,90.87,
Brunei,BRN,2023,,,Asia
Bulgaria,BGR,2023,,,Europe
Burkina Faso,BFA,2019,44.92,60.9,
Burkina Faso,BFA,2023,,,Africa
Burundi,BDI,2013,8.74,19.62,
Burundi,BDI,2014,7.27,16.03,
Burundi,BDI,2017,11.87,25.34,
Burundi,BDI,2023,,,Africa
Cambodia,KHM,2017,26.9,25.72,
Cambodia,KHM,2019,70.94,72.36,
Cambodia,KHM,2023,,,Asia
Cameroon,CMR,2023,,,Africa
Canada,CAN,2023,,,North America
Cape Verde,CPV,2015,68.46,74.1,
Cape Verde,CPV,2016,71.19,73.61,
Cape Verde,CPV,2017,73.75,74.66,
Cape Verde,CPV,2019,70.83,72.53,
Cape Verde,CPV,2023,,,Africa
Cayman Islands,CYM,2023,,,North America
Central African Republic,CAF,2023,,,Africa
Central and Southern Asia (UN),,2020,46.8,66.4,
Central and Southern Asia (UN),,2021,50.3,69.8,
Central and Southern Asia (UN),,2022,53.6,70.6,
Central and Southern Asia (UN),,2023,57,72.4,
Chad,TCD,2023,,,Africa
Chile,CHL,2016,98.82,91.56,
Chile,CHL,2017,97.15,86.67,
Chile,CHL,2023,,,South America
China,CHN,2023,,,Asia
Christmas Island,CXR,2023,,,Asia
Cocos Islands,CCK,2023,,,Asia
Colombia,COL,2014,70.57,68.03,
Colombia,COL,2015,72.82,70.08,
Colombia,COL,2016,73.1,70.98,
Colombia,COL,2017,74.46,71.81,
Colombia,COL,2018,73.33,70.95,
Colombia,COL,2019,74.18,71.91,
Colombia,COL,2020,76.44,74.27,
Colombia,COL,2021,77.46,75.08,
Colombia,COL,2022,76.69,74.89,
Colombia,COL,2023,,,South America
Comoros,COM,2023,,,Africa
Congo,COG,2023,,,Africa
Cook Islands,COK,2023,,,Oceania
Costa Rica,CRI,2015,86.23,85.8,
Costa Rica,CRI,2023,,,North America
Cote d'Ivoire,CIV,2017,47.19,81.38,
Cote d'Ivoire,CIV,2018,57.56,74.75,
Cote d'Ivoire,CIV,2019,64.34,71.03,
Cote d'Ivoire,CIV,2022,60.82,65.56,
Cote d'Ivoire,CIV,2023,,,Africa
Croatia,HRV,2023,,,Europe
Cuba,CUB,2023,,,North America
Curacao,CUW,2017,87.9,86.45,
Curacao,CUW,2023,,,North America
Cyprus,CYP,2014,95.13,98.31,
Cyprus,CYP,2015,96.53,99.33,
Cyprus,CYP,2016,92.94,96.51,
Cyprus,CYP,2017,98.67,,
Cyprus,CYP,2018,98.2,99.11,
Cyprus,CYP,2023,,,Europe
Czechia,CZE,2014,96.3,97.38,
Czechia,CZE,2015,96.86,97.18,
Czechia,CZE,2020,98.85,98.7,
Czechia,CZE,2021,98.7,98.83,
Czechia,CZE,2022,98.55,99.09,
Czechia,CZE,2023,,,Europe
Czechoslovakia,OWID_CZS,2023,,,Europe
Democratic Republic of Congo,COD,2023,,,Africa
Democratic Republic of Vietnam,,2023,,,Asia
Denmark,DNK,2016,83.16,82.47,
Denmark,DNK,2023,,,Europe
Djibouti,DJI,2017,51.57,61.32,
Djibouti,DJI,2023,,,Africa
Dominica,DMA,2023,,,North America
Dominican Republic,DOM,2016,83.95,83.92,
Dominican Republic,DOM,2017,69.06,69.63,
Dominican Republic,DOM,2018,70.41,70.98,
Dominican Republic,DOM,2021,74.69,74.2,
Dominican Republic,DOM,2023,,,North America
Duchy of Modena and Reggio,,2023,,,Europe
Duchy of Parma and Piacenza,,2023,,,Europe
East Germany,OWID_GDR,2023,,,Europe
East Timor,TLS,2023,,,Asia
Eastern and South-Eastern Asia (UN),,2020,77.3,79.9,
Eastern and South-Eastern Asia (UN),,2021,79.2,82,
Eastern and South-Eastern Asia (UN),,2022,80.7,83.3,
Eastern and South-Eastern Asia (UN),,2023,82.4,85,
Ecuador,ECU,2013,50.19,52.41,
Ecuador,ECU,2014,52.99,54.92,
Ecuador,ECU,2015,54.41,56.5,
Ecuador,ECU,2016,55.31,56.95,
Ecuador,ECU,2017,57.96,59.08,
Ecuador,ECU,2018,57.66,60.42,
Ecuador,ECU,2019,58.23,61.67,
Ecuador,ECU,2022,58.29,59.36,
Ecuador,ECU,2023,59.52,59.63,South America
Egypt,EGY,2014,78.96,82.92,
Egypt,EGY,2015,82.88,86.64,
Egypt,EGY,2016,84.2,90.67,
Egypt,EGY,2017,97.12,98.55,
Egypt,EGY,2018,97.2,99.29,
Egypt,EGY,2019,98.36,99.84,
Egypt,EGY,2020,99.93,98.91,
Egypt,EGY,2022,96.23,98.58,
Egypt,EGY,2023,,,Africa
El Salvador,SLV,2014,77.98,80.43,
El Salvador,SLV,2015,78.45,81.01,
El Salvador,SLV,2023,,,North America
Equatorial Guinea,GNQ,2023,,,Africa
Eritrea,ERI,2023,,,Africa
Estonia,EST,2023,,,Europe
Eswatini,SWZ,2023,,,Africa
Ethiopia,ETH,2023,,,Africa
Ethiopia (former),OWID_ERE,2023,,,Africa
Europe and Northern America (UN),,2020,93.2,94,
Europe and Northern America (UN),,2021,93.8,94.5,
Europe and Northern America (UN),,2022,94.3,94.9,
Europe and Northern America (UN),,2023,94.7,95.3,
Falkland Islands,FLK,2023,,,South America
Faroe Islands,FRO,2023,,,Europe
Federal Republic of Central America,,2023,,,North America
Fiji,FJI,2023,,,Oceania
Finland,FIN,2014,98.37,98.66,
Finland,FIN,2015,97.7,99.08,
Finland,FIN,2016,98.12,98.78,
Finland,FIN,2017,98.59,99.15,
Finland,FIN,2018,97.96,98.87,
Finland,FIN,2023,,,Europe
France,FRA,2018,77.8,79.58,
France,FRA,2021,95.07,95.99,
France,FRA,2022,94.39,95.52,
France,FRA,2023,,,Europe
French Guiana,GUF,2023,,,South America
French Polynesia,PYF,2023,,,Oceania
Gabon,GAB,2023,,,Africa
Gambia,GMB,2023,,,Africa
Georgia,GEO,2016,76.18,80.82,
Georgia,GEO,2017,77.64,82.87,
Georgia,GEO,2018,84.34,90.59,
Georgia,GEO,2019,87.85,91.62,
Georgia,GEO,2020,89.68,92.76,
Georgia,GEO,2021,89.52,93.39,
Georgia,GEO,2022,90.74,93.32,
Georgia,GEO,2023,,,Asia
Germany,DEU,2023,,,Europe
Ghana,GHA,2023,,,Africa
Gibraltar,GIB,2023,,,Europe
Grand Duchy of Baden,,2023,,,Europe
Grand Duchy of Tuscany,,2023,,,Europe
Great Colombia,,2023,,,South America
Greece,GRC,2023,,,Europe
Greenland,GRL,2023,,,North America
Grenada,GRD,2016,90.86,88.93,
Grenada,GRD,2017,95.04,90.28,
Grenada,GRD,2023,,,North America
Guadeloupe,GLP,2023,,,North America
Guam,GUM,2023,,,Oceania
Guatemala,GTM,2019,57.26,63.64,
Guatemala,GTM,2021,60.27,67.11,
Guatemala,GTM,2023,,,North America
Guernsey,GGY,2023,,,Europe
Guinea,GIN,2018,68.9,86,
Guinea,GIN,2023,,,Africa
Guinea-Bissau,GNB,2023,,,Africa
Guyana,GUY,2023,,,South America
Haiti,HTI,2023,,,North America
Honduras,HND,2023,,,North America
Hong Kong,HKG,2014,94.15,95.53,
Hong Kong,HKG,2015,95.37,96.8,
Hong Kong,HKG,2016,95.38,96.93,
Hong Kong,HKG,2017,96.33,97.36,
Hong Kong,HKG,2018,96.2,97.09,
Hong Kong,HKG,2019,96.51,97.68,
Hong Kong,HKG,2020,96.71,97.49,
Hong Kong,HKG,2021,96.93,97.78,
Hong Kong,HKG,2022,97.98,98.44,
Hong Kong,HKG,2023,,,Asia
Hungary,HUN,2023,,,Europe
Iceland,ISL,2023,,,Europe
India,IND,2023,,,Asia
Indonesia,IDN,2015,50.57,63.67,
Indonesia,IDN,2016,52.28,64.65,
Indonesia,IDN,2017,53.8,65.34,
Indonesia,IDN,2018,57.19,67.59,
Indonesia,IDN,2019,58.35,68.68,
Indonesia,IDN,2020,57.51,68.12,
Indonesia,IDN,2021,60.58,71.12,
Indonesia,IDN,2022,62.91,72.76,
Indonesia,IDN,2023,,,Asia
Iran,IRN,2015,63.22,76.04,
Iran,IRN,2016,53.09,75.1,
Iran,IRN,2017,54.58,77.24,
Iran,IRN,2018,56.41,79.83,
Iran,IRN,2019,64.92,76.62,
Iran,IRN,2020,67.23,76.49,
Iran,IRN,2021,68.27,76.45,
Iran,IRN,2023,,,Asia
Iraq,IRQ,2014,43.44,63.05,
Iraq,IRQ,2019,47.27,68.39,
Iraq,IRQ,2022,58.26,72.66,
Iraq,IRQ,2023,,,Asia
Ireland,IRL,2017,83,83,
Ireland,IRL,2018,88.3,86.58,
Ireland,IRL,2023,,,Europe
Isle of Man,IMN,2023,,,Europe
Israel,ISR,2017,90.94,93.48,
Israel,ISR,2018,93.61,94.97,
Israel,ISR,2023,,,Asia
Italy,ITA,2014,88.27,91.52,
Italy,ITA,2015,88.71,91.37,
Italy,ITA,2016,90.42,92.69,
Italy,ITA,2023,,,Europe
Jamaica,JAM,2016,97.18,95.59,
Jamaica,JAM,2023,,,North America
Japan,JPN,2015,80.28,81.55,
Japan,JPN,2016,82,85.29,
Japan,JPN,2017,87.03,89.7,
Japan,JPN,2018,87.6,90.46,
Japan,JPN,2019,91.3,93.05,
Japan,JPN,2020,92.11,93.72,
Japan,JPN,2021,92.42,93.6,
Japan,JPN,2022,93.23,94.42,
Japan,JPN,2023,,,Asia
Jersey,JEY,2023,,,Europe
Jordan,JOR,2023,,,Asia
Kazakhstan,KAZ,2016,84.82,86.02,
Kazakhstan,KAZ,2017,86.5,87.14,
Kazakhstan,KAZ,2018,87.14,88.78,
Kazakhstan,KAZ,2019,87.68,88.6,
Kazakhstan,KAZ,2020,90.14,90.94,
Kazakhstan,KAZ,2021,92.5,92.69,
Kazakhstan,KAZ,2022,95.18,90.06,
Kazakhstan,KAZ,2023,,,Asia
Kenya,KEN,2015,43.71,45.97,
Kenya,KEN,2019,47.04,47.61,
Kenya,KEN,2023,,,Africa
Kingdom of Bavaria,,2023,,,Europe
Kingdom of Sardinia,,2023,,,Europe
Kingdom of Saxony,,2023,,,Europe
Kingdom of Wurttemberg,,2023,,,Europe
Kingdom of the Two Sicilies,,2023,,,Europe
Kiribati,KIR,2023,,,Oceania
Korea (former),OWID_KRU,2023,,,Asia
Kosovo,OWID_KOS,2023,,,Europe
Kuwait,KWT,2017,99.89,99.59,
Kuwait,KWT,2018,99.39,99.14,
Kuwait,KWT,2019,99.22,99.22,
Kuwait,KWT,2020,99.75,98.87,
Kuwait,KWT,2021,99.75,98.87,
Kuwait,KWT,2023,97.66,98.8,Asia
Kyrgyzstan,KGZ,2023,,,Asia
Laos,LAO,2023,,,Asia
Latin America and the Caribbean (UN),,2020,80,80.8,
Latin America and the Caribbean (UN),,2021,81.4,81.9,
Latin America and the Caribbean (UN),,2022,82.5,82.8,
Latin America and the Caribbean (UN),,2023,83.8,83.7,
Latvia,LVA,2023,,,Europe
Least Developed Countries (LDCs),,2020,43.5,59.2,
Least Developed Countries (LDCs),,2021,46.1,61.1,
Least Developed Countries (LDCs),,2022,48.3,62.6,
Least Developed Countries (LDCs),,2023,50.6,64.3,
Lebanon,LBN,2023,,,Asia
Lesotho,LSO,2019,82.79,80.03,
Lesotho,LSO,2023,,,Africa
Liberia,LBR,2023,,,Africa
Libya,LBY,2023,,,Africa
Liechtenstein,LIE,2023,,,Europe
Lithuania,LTU,2014,96.99,96.4,
Lithuania,LTU,2015,95.88,95.5,
Lithuania,LTU,2016,95.59,95.5,
Lithuania,LTU,2017,95.88,95.5,
Lithuania,LTU,2018,95.88,95.5,
Lithuania,LTU,2019,95.88,95.5,
Lithuania,LTU,2023,,,Europe
Luxembourg,LUX,2023,,,Europe
Macao,MAC,2014,91.76,92.75,
Macao,MAC,2015,91.83,92.6,
Macao,MAC,2016,91.6,91.78,
Macao,MAC,2018,90.26,88.69,
Macao,MAC,2019,92.97,92.42,
Macao,MAC,2023,,,Asia
Madagascar,MDG,2023,,,Africa
Malawi,MWI,2023,,,Africa
Malaysia,MYS,2015,92.47,96.43,
Malaysia,MYS,2017,94.45,96.56,
Malaysia,MYS,2018,95.15,96.72,
Malaysia,MYS,2019,94.45,96.78,
Malaysia,MYS,2020,94.99,97.66,
Malaysia,MYS,2021,96.61,98.22,
Malaysia,MYS,2022,97.24,99.08,
Malaysia,MYS,2023,,,Asia
Maldives,MDV,2019,92.56,93.94,
Maldives,MDV,2023,,,Asia
Mali,MLI,2023,,,Africa
Malta,MLT,2023,,,Europe
Marshall Islands,MHL,2023,,,Oceania
Martinique,MTQ,2023,,,North America
Mauritania,MRT,2023,,,Africa
Mauritius,MUS,2017,72.8,78.73,
Mauritius,MUS,2018,74.63,79.25,
Mauritius,MUS,2019,76.07,80.29,
Mauritius,MUS,2020,80.72,85.14,
Mauritius,MUS,2023,,,Africa
Mayotte,MYT,2023,,,Africa
Mexico,MEX,2014,61.85,64.15,
Mexico,MEX,2015,69.91,73.15,
Mexico,MEX,2023,,,North America
Micronesia (country),FSM,2023,,,Oceania
Moldova,MDA,2023,,,Europe
Monaco,MCO,2023,,,Europe
Mongolia,MNG,2018,94.29,94.6,
Mongolia,MNG,2019,94.74,93.56,
Mongolia,MNG,2023,,,Asia
Montenegro,MNE,2023,,,Europe
Montserrat,MSR,2023,,,North America
Morocco,MAR,2014,79,84.62,
Morocco,MAR,2015,87.22,89.2,
Morocco,MAR,2016,87.1,90.98,
Morocco,MAR,2017,91.73,91.62,
Morocco,MAR,2018,92.55,92.3,
Morocco,MAR,2019,94.85,96.45,
Morocco,MAR,2020,94.85,96.45,
Morocco,MAR,2021,95.86,96.52,
Morocco,MAR,2023,,,Africa
Mozambique,MOZ,2017,26.39,36.84,
Mozambique,MOZ,2023,,,Africa
Myanmar,MMR,2017,57.44,68,
Myanmar,MMR,2023,,,Asia
Namibia,NAM,2023,,,Africa
Nauru,NRU,2023,,,Oceania
Nepal,NPL,2023,,,Asia
Netherlands,NLD,2014,71.23,77.46,
Netherlands,NLD,2015,78.08,80.28,
Netherlands,NLD,2016,82.43,86.11,
Netherlands,NLD,2023,,,Europe
Netherlands Antilles,ANT,2023,,,North America
New Caledonia,NCL,2023,,,Oceania
New Zealand,NZL,2023,,,Oceania
Nicaragua,NIC,2023,,,North America
Niger,NER,2017,55.37,76.59,
Niger,NER,2023,,,Africa
Nigeria,NGA,2023,,,Africa
Niue,NIU,2023,,,Oceania
Norfolk Island,NFK,2023,,,Oceania
North Korea,PRK,2023,,,Asia
North Macedonia,MKD,2023,,,Europe
Northern Africa and Western Asia (UN),,2020,78.2,86.1,
Northern Africa and Western Asia (UN),,2021,80.1,87.4,
Northern Africa and Western Asia (UN),,2022,81.9,88.5,
Northern Africa and Western Asia (UN),,2023,83.6,89.5,
Northern Mariana Islands,MNP,2023,,,Oceania
Norway,NOR,2019,88.48,90.13,
Norway,NOR,2023,,,Europe
Oman,OMN,2013,72.84,80.2,
Oman,OMN,2016,86.54,94.24,
Oman,OMN,2020,95.65,97.73,
Oman,OMN,2023,,,Asia
Orange Free State,,2023,,,Africa
Pakistan,PAK,2019,26.46,64.97,
Pakistan,PAK,2020,25.19,65.02,
Pakistan,PAK,2023,,,Asia
Pakistan (former),,2023,,,Asia
Palau,PLW,2023,,,Oceania
Palestine,PSE,2014,65.29,81.82,
Palestine,PSE,2018,83.22,93.85,
Palestine,PSE,2019,70.46,79.22,
Palestine,PSE,2022,75.73,82.66,
Palestine,PSE,2023,,,Asia
Panama,PAN,2023,,,North America
Papua New Guinea,PNG,2023,,,Oceania
Paraguay,PRY,2023,,,South America
Peru,PER,2017,76.15,82.17,
Peru,PER,2018,77.88,83.65,
Peru,PER,2019,79.03,84.4,
Peru,PER,2020,78.91,84.78,
Peru,PER,2021,81.16,85.18,
Peru,PER,2022,83.43,86.45,
Peru,PER,2023,,,South America
Philippines,PHL,2023,,,Asia
Pitcairn,PCN,2023,,,Oceania
Poland,POL,2023,,,Europe
Portugal,PRT,2022,96.85,97.36,
Portugal,PRT,2023,,,Europe
Puerto Rico,PRI,2023,,,North America
Qatar,QAT,2018,99.57,99.69,
Qatar,QAT,2019,99.57,99.69,
Qatar,QAT,2020,99.57,99.69,
Qatar,QAT,2023,,,Asia
Republic of Vietnam,OWID_RVN,2023,,,Asia
Reunion,REU,2023,,,Africa
Romania,ROU,2019,95.21,97.17,
Romania,ROU,2022,97.96,98.09,
Romania,ROU,2023,,,Europe
Russia,RUS,2017,94.77,94.83,
Russia,RUS,2018,94.62,95.05,
Russia,RUS,2019,96.98,96.96,
Russia,RUS,2020,97.39,97.19,
Russia,RUS,2021,98.16,98.08,
Russia,RUS,2022,98.93,98.74,
Russia,RUS,2023,,,Europe
Rwanda,RWA,2023,,,Africa
Saint Barthelemy,BLM,2023,,,North America
Saint Helena,SHN,2023,,,Africa
Saint Kitts and Nevis,KNA,2023,,,North America
Saint Lucia,LCA,2023,,,North America
Saint Martin (French part),MAF,2023,,,North America
Saint Pierre and Miquelon,SPM,2023,,,North America
Saint Vincent and the Grenadines,VCT,2023,,,North America
Samoa,WSM,2023,,,Oceania
San Marino,SMR,2023,,,Europe
Sao Tome and Principe,STP,2023,,,Africa
Saudi Arabia,SAU,2016,49.38,70.73,
Saudi Arabia,SAU,2017,92.02,95.9,
Saudi Arabia,SAU,2018,92.35,97.02,
Saudi Arabia,SAU,2019,95.39,97.89,
Saudi Arabia,SAU,2021,100,100,
Saudi Arabia,SAU,2022,100,100,
Saudi Arabia,SAU,2023,,,Asia
Senegal,SEN,2023,,,Africa
Serbia,SRB,2016,91.07,92.46,
Serbia,SRB,2017,91.95,93.19,
Serbia,SRB,2020,106.96,80.7,
Serbia,SRB,2021,94.37,96.58,
Serbia,SRB,2022,95.83,95.23,
Serbia,SRB,2023,,,Europe
Serbia and Montenegro,OWID_SRM,2023,,,Europe
Seychelles,SYC,2023,,,Africa
Sierra Leone,SLE,2023,,,Africa
Singapore,SGP,2016,88.09,91.01,
Singapore,SGP,2017,88.09,91.01,
Singapore,SGP,2018,93.19,94.23,
Singapore,SGP,2019,88.09,88.57,
Singapore,SGP,2020,87.83,88.76,
Singapore,SGP,2021,98.26,98.75,
Singapore,SGP,2022,98.66,98.98,
Singapore,SGP,2023,,,Asia
Sint Maarten (Dutch part),SXM,2023,,,North America
Slovakia,SVK,2020,74.43,78.29,
Slovakia,SVK,2023,,,Europe
Slovenia,SVN,2022,98.04,97.49,
Slovenia,SVN,2023,,,Europe
Small Island Developing States (SIDS),,2020,68.3,70.5,
Small Island Developing States (SIDS),,2021,70.6,72.3,
Small Island Developing States (SIDS),,2022,71.2,73.2,
Small Island Developing States (SIDS),,2023,72.5,74.6,
Solomon Islands,SLB,2023,,,Oceania
Somalia,SOM,2023,,,Africa
South Africa,ZAF,2016,55.01,52.35,
South Africa,ZAF,2017,61.04,58.13,
South Africa,ZAF,2018,80.71,78.34,
South Africa,ZAF,2019,79.65,76.55,
South Africa,ZAF,2023,,,Africa
South Georgia and the South Sandwich Islands,SGS,2023,,,South America
South Korea,KOR,2014,81.58,87.72,
South Korea,KOR,2015,94.53,96.94,
South Korea,KOR,2016,87.64,92.41,
South Korea,KOR,2017,93.05,95.61,
South Korea,KOR,2018,94.79,97.16,
South Korea,KOR,2019,95.31,96.95,
South Korea,KOR,2020,95.43,96.99,
South Korea,KOR,2021,96.92,98.2,
South Korea,KOR,2022,96.56,97.76,
South Korea,KOR,2023,,,Asia
South Sudan,SSD,2023,,,Africa
Spain,ESP,2023,,,Europe
Sri Lanka,LKA,2023,,,Asia
Sub-Saharan Africa (UN),,2020,49.1,61.2,
Sub-Saharan Africa (UN),,2021,52.3,63.9,
Sub-Saharan Africa (UN),,2022,54.6,65.9,
Sub-Saharan Africa (UN),,2023,57.2,68.1,
Sudan,SDN,2016,54.2,70.3,
Sudan,SDN,2023,,,Africa
Suriname,SUR,2023,,,South America
Sweden,SWE,2023,,,Europe
Switzerland,CHE,2019,91.88,93.58,
Switzerland,CHE,2021,97.74,97.89,
Switzerland,CHE,2023,,,Europe
Syria,SYR,2023,,,Asia
Taiwan,TWN,2023,,,Asia
Tajikistan,TJK,2023,,,Asia
Tanzania,TZA,2023,,,Africa
Thailand,THA,2013,73.43,73.21,
Thailand,THA,2014,77.09,77.25,
Thailand,THA,2015,79.06,79.52,
Thailand,THA,2016,81.15,81.66,
Thailand,THA,2017,87.9,88.41,
Thailand,THA,2020,83.67,83.46,
Thailand,THA,2021,86.42,86.95,
Thailand,THA,2022,88.02,88.52,
Thailand,THA,2023,,,Asia
Togo,TGO,2017,39.45,48.64,
Togo,TGO,2023,,,Africa
Tokelau,TKL,2023,,,Oceania
Tonga,TON,2023,,,Oceania
Trinidad and Tobago,TTO,2023,,,North America
Tunisia,TUN,2019,76.68,83.44,
Tunisia,TUN,2023,,,Africa
Turkey,TUR,2020,89.41,96.33,
Turkey,TUR,2021,89.71,96.98,
Turkey,TUR,2022,91.64,97.06,
Turkey,TUR,2023,94.1,98.15,Asia
Turkmenistan,TKM,2023,,,Asia
Turks and Caicos Islands,TCA,2023,,,North America
Tuvalu,TUV,2023,,,Oceania
USSR,OWID_USS,2023,,,Europe
Uganda,UGA,2023,,,Africa
Ukraine,UKR,2020,89.61,89.26,
Ukraine,UKR,2021,90.97,90.44,
Ukraine,UKR,2023,,,Europe
United Arab Emirates,ARE,2016,99.3,99.2,
United Arab Emirates,ARE,2017,99.4,99.4,
United Arab Emirates,ARE,2018,100,99.75,
United Arab Emirates,ARE,2019,100,99.8,
United Arab Emirates,ARE,2020,100,100,
United Arab Emirates,ARE,2021,100,100,
United Arab Emirates,ARE,2022,100,100,
United Arab Emirates,ARE,2023,,,Asia
United Kingdom,GBR,2023,,,Europe
United States,USA,2023,,,North America
United States Virgin Islands,VIR,2023,,,North America
Uruguay,URY,2014,77.79,75.87,
Uruguay,URY,2015,79.82,78.27,
Uruguay,URY,2017,76.59,74.66,
Uruguay,URY,2018,83.32,82.23,
Uruguay,URY,2019,84.17,82.32,
Uruguay,URY,2023,,,South America
Uzbekistan,UZB,2017,53.78,73.3,
Uzbekistan,UZB,2018,58.85,77.4,
Uzbekistan,UZB,2019,62.13,77.5,
Uzbekistan,UZB,2020,65.64,77.8,
Uzbekistan,UZB,2021,63.65,81.11,
Uzbekistan,UZB,2022,74.12,83.9,
Uzbekistan,UZB,2023,,,Asia
Vanuatu,VUT,2023,,,Oceania
Vatican,VAT,2023,,,Europe
Venezuela,VEN,2023,,,South America
Vietnam,VNM,2019,76.75,78.26,
Vietnam,VNM,2023,,,Asia
Wallis and Futuna,WLF,2023,,,Oceania
West Germany,OWID_GFR,2023,,,Europe
Western Sahara,ESH,2023,,,Africa
World,OWID_WRL,2020,69,76.8,
World,OWID_WRL,2021,71.1,78.8,
World,OWID_WRL,2022,72.9,79.8,
World,OWID_WRL,2023,74.8,81.3,
Yemen,YEM,2023,,,Asia
Yemen Arab Republic,OWID_YAR,2023,,,Asia
Yemen People's Republic,OWID_YPR,2023,,,Asia
Yugoslavia,OWID_YGS,2023,,,Europe
Zambia,ZMB,2018,45.22,43.97,
Zambia,ZMB,2023,,,Africa
Zimbabwe,ZWE,2020,47.84,46.18,
Zimbabwe,ZWE,2023,,,Africa